top	left	bottom	right	slug	name	iso	icao	iata
49.101	-122.632	49.098	-122.625	55965859	Langley Municipal Airport	CA		
45.983	-81.504	45.973	-81.485	55965864	Killarney Municipal Airport	CA		
49.079	-122.946	49.074	-122.935	55965860	Delta Heritage Air Park	CA		
44.484	-79.549	44.482	-79.543	55965861	Lake Simcoe Regional Airport	CA		
51.27	-113.935	51.263	-113.933	55965862	Airdrie Airport	CA		
53.432	-113.126	53.423	-113.104	55965858	Cooking Lake Airport	CA		
45.593	-73.242	45.587	-73.233	55965856	Aeroport de St-Mathieu-de-Beloeil	CA		
53.731	-113.1	53.725	-113.075	55965857	Strathcona Airport	CA		
13.202	77.705	13.197	77.711	55965437	Bengaluru International Airport	IN		BLR
17.248	78.42	17.24	78.429	55965436	Hyderabad International Airport	IN		HYD
46.093	-64.799	46.09	-64.793	55999860	Canadian Forces Base	CA		
52.137	5.266	52.124	5.292	23195459	Vliegbasis Soesterberg	NL		UTC
51.988	4.418	51.926	4.476	23182361	Rotterdam Airport B. V.	NL		QRH
43.674	7.173	43.646	7.222	22143543	Aéroport de Nice-Cote d'Azur	FR		
48.734	2.357	48.72	2.376	22144181	Aéroport de Paris Orly	FR		ORY
51.624	8.596	51.605	8.637	22179500	Paderborn-Lippstadt Airport	DE		PAD
52.322	10.54	52.315	10.568	22176819	Braunschweig Airport	DE		BWE
52.493	13.371	52.472	13.403	22164089	Tempelhof Central Airport	DE		THF
52.57	13.251	52.524	13.327	22164086	Flughafen Berlin-Tegel	DE		TXL
49.987	11.633	49.982	11.645	22171419	Flughafen Bindlacher Berg	DE		BYU
51.414	9.367	51.401	9.388	22180427	Kassel Calden Airport	DE		KSF
48.97	2.415	48.942	2.448	22137770	Aéroport de Paris-Le Bourget	FR		
53.584	6.705	53.575	6.721	22176048	Borkum Airport	DE		BMK
53.393	7.219	53.388	7.236	22192358	Emden Airport	DE		
54.777	9.37	54.768	9.392	22197097	Flensburg-Schaferhaus Airfield	DE		
53.084	8.739	53.026	8.828	22177393	Bremen Airport	DE		BRE
49.104	2.032	49.088	2.046	22135124	Aerodrome de Pontoise-Cormeilles	FR		POX
49.028	2.493	48.988	2.604	22140453	Aéroport Roissy-Charles de Gaulle	FR		CDG
50.916	4.475	50.89	4.497	22103751	Luchthaven Brüssel Nationaal	BE		BRU
50.98	10.955	50.971	10.97	22193194	Erfurt Airport	DE		ERF
41.002	29.019	40.984	29.038	23416958	Istanbul Sabiha Gokcen Airport	TR		SAW
31.153	121.794	31.131	121.815	23428057	Pudong International Airport	CN	KPVG	PVG
41.627	-74.704	41.617	-74.697	23418438	Monticello Airport	US		
35.354	-89.875	35.345	-89.864	23418442	Millinton Municipal Airport	US		
37.838	-121.634	37.825	-121.623	23418425	Byron Airport	US		
28.781	-81.249	28.763	-81.233	23418431	Orlando Sanford International Airport	US	KSFB	SFB
33.64	-116.167	33.632	-116.158	23418428	Desert Resorts Regional Airport	US		
30.475	-88.533	30.454	-88.525	23418435	Trent Lott International Airport	US		
35.985	-113.822	35.976	-113.811	23418424	Grand Canyon West Airport	US		
41.487	-75.776	41.478	-75.764	23418440	Scranton Airport	US		
38.657	-122.903	38.649	-122.895	23418427	Healdsburg Municipal Airport	US		
34.35	-119.067	34.344	-119.056	23418430	Santa Paula Airport	US		
42.361	-72.135	42.352	-72.123	23418433	Tanner-hiller Airport	US		
30.224	-97.68	30.194	-97.651	23418445	Austin-Bergstrom International Airport	US	KAUS	AUS
32.048	-86.042	32.039	-86.031	23418420	Pine Level South Bound Airport	US		
32.024	-86.036	32.015	-86.025	23418421	Pine Level North Bound Airport	US		
32.524	-84.951	32.51	-84.927	23418432	Columbus Metro Airport	US	KCSG	CSG
41.372	-96.024	41.365	-96.022	23418436	North Omaha Airport	US		
-38.834	175.251	-38.843	175.263	28677841	Taumarunui Aerodrome	NZ		
-38.017	177.303	-38.026	177.314	28677838	Opotiki Aerodrome	NZ		
-45.457	167.698	-45.467	167.71	28677842	Te Anau Aerodrome	NZ		
-39.641	176.758	-39.65	176.77	28677825	Bridge Pa Aerodrome	NZ		
-39.474	175.544	-39.484	175.556	28677831	Karioi Aerodrome	NZ		
-40.966	175.624	-40.975	175.636	28677828	Hood Aerodrome	NZ		
-43.59	171.527	-43.599	171.539	28677835	Mount Hutt Methven Airfield	NZ		
-39.551	174.268	-39.56	174.28	28677826	Hawera Aerodrome	NZ		
-45.856	170.355	-45.865	170.368	28677839	Taieri Aerodrome	NZ		
