iso,woeid,airports
AE,23424738,17
AF,23424739,11
AG,23424737,2
AI,23424751,1
AL,23424742,9
AM,23424743,11
AN,23424914,5
AO,23424745,27
AR,23424747,150
AS,23424746,1
AT,23424750,51
AU,23424748,536
AW,23424736,1
AX,12577865,1
AZ,23424741,52
BA,23424761,6
BB,23424754,1
BD,23424759,10
BE,23424757,20
BF,23424978,2
BG,23424771,194
BH,23424753,2
BI,23424774,1
BJ,23424764,1
BL,56042304,1
BM,23424756,2
BN,23424773,1
BO,23424762,36
BR,23424768,466
BS,23424758,36
BT,23424770,1
BW,23424755,10
BY,23424765,66
BZ,23424760,14
CA,23424775,657
CC,23424784,1
CD,23424780,25
CF,23424792,4
CG,23424779,5
CH,23424957,60
CI,23424854,7
CK,23424795,2
CL,23424782,57
CM,23424785,11
CN,23424781,347
CO,23424787,180
CR,23424791,34
CU,23424793,46
CV,23424794,6
CX,23424869,1
CY,26812346,10
CZ,23424810,174
DE,23424829,584
DJ,23424797,1
DK,23424796,23
DM,23424798,2
DO,23424800,14
DZ,23424740,46
EC,23424801,47
EE,23424805,19
EG,23424802,61
EH,23424990,1
ER,23424806,1
ES,23424950,68
ET,23424808,4
FI,23424812,51
FJ,23424813,8
FK,23424814,2
FM,23424815,5
FO,23424816,1
FR,23424819,415
GA,23424822,10
GB,23424975,233
GD,23424826,2
GE,23424823,21
GF,23424811,6
GH,23424824,5
GI,23424825,1
GL,23424828,21
GM,23424821,1
GN,23424835,5
GP,23424831,7
GQ,23424804,2
GR,23424833,62
GT,23424834,18
GU,23424832,3
GW,23424929,5
GY,23424836,27
HK,24865698,3
HN,23424841,33
HR,23424843,11
HT,23424839,7
HU,23424844,77
ID,23424846,82
IE,23424803,22
IL,23424852,21
IN,23424848,193
IQ,23424855,63
IR,23424851,77
IS,23424845,39
IT,23424853,95
JM,23424858,7
JO,23424860,15
JP,23424856,130
KE,23424863,21
KG,23424864,42
KH,23424776,6
KI,23424867,12
KM,23424786,4
KN,23424940,2
KP,23424865,61
KR,23424868,43
KW,23424870,2
KY,23424783,3
KZ,23424871,305
LA,23424872,27
LB,23424873,5
LC,23424951,2
LK,23424778,11
LR,23424876,4
LS,23424880,2
LT,23424875,24
LU,23424881,1
LV,23424874,13
LY,23424882,48
MA,23424893,18
MC,23424892,1
MD,23424885,17
ME,20069817,4
MF,56042305,3
MG,23424883,28
MH,23424932,5
MK,23424890,2
ML,23424891,7
MM,23424763,27
MN,23424887,33
MO,20070017,1
MP,23424788,2
MQ,23424884,1
MR,23424896,9
MS,23424888,1
MT,23424897,3
MU,23424894,2
MV,23424899,2
MW,23424889,6
MX,23424900,186
MY,23424901,30
MZ,23424902,21
NA,23424987,24
NC,23424903,9
NE,23424906,7
NF,23424905,1
NG,23424908,26
NI,23424915,14
NL,23424909,22
NO,23424910,61
NP,23424911,7
NR,23424912,1
NZ,23424916,79
OM,23424898,6
PA,23424924,48
PE,23424919,44
PF,23424817,20
PG,23424926,23
PH,23424934,62
PI,23424921,1
PK,23424922,52
PL,23424923,137
PM,23424939,2
PR,23424935,14
PS,28289408,1
PT,23424925,35
PW,23424927,1
PY,23424917,11
QA,23424930,1
RE,23424931,2
RO,23424933,103
RS,20069818,10
RU,23424936,1637
RW,23424937,2
SA,23424938,63
SB,23424766,7
SC,23424941,7
SD,23424952,9
SE,23424954,96
SG,23424948,5
SI,23424945,5
SJ,28289413,1
SK,23424877,29
SL,23424946,6
SN,23424943,9
SO,23424949,6
SR,23424913,13
ST,23424966,2
SV,23424807,5
SY,23424956,22
SZ,23424993,1
TC,23424962,7
TD,23424777,4
TG,23424965,2
TH,23424960,67
TJ,23424961,44
TL,23424968,2
TM,23424972,54
TN,23424967,12
TO,23424964,5
TR,23424969,76
TT,23424958,3
TV,23424970,1
TW,23424971,35
TZ,23424973,13
UA,23424976,332
UG,23424974,3
UM,28289407,4
US,23424977,4971
UY,23424979,18
UZ,23424980,166
VC,23424981,6
VE,23424982,120
VG,23424983,5
VI,23424985,6
VN,23424984,111
VU,23424907,9
WS,23424992,3
YE,23425002,11
YT,23424886,1
ZA,23424942,126
ZM,23425003,14
ZW,23425004,20
